strategy,model,date,position,executed_position,strategy_return,equity,drawdown
StableHGB,stable_hgb,2025/01/02,1.0,1.0,-0.007880216321815792,99211.97836781842,0.0
StableHGB,stable_hgb,2025/01/03,1.0,1.0,-0.047828311462035256,94466.83696567769,-0.047828311462035256
StableHGB,stable_hgb,2025/01/06,1.0,1.0,-0.006965038296092518,93808.87182850101,-0.05446022373715731
StableHGB,stable_hgb,2025/01/07,1.0,1.0,0.03666059264155752,97247.96066476977,-0.019796175173195873
StableHGB,stable_hgb,2025/01/08,1.0,1.0,-0.0023530938670022206,97019.12708495103,-0.022102686781807823
StableHGB,stable_hgb,2025/01/09,1.0,1.0,0.005732579547672145,97575.29694861123,-0.016496812644329673
StableHGB,stable_hgb,2025/01/10,1.0,1.0,-0.03154771947584489,94497.01885270418,-0.04752409530262569
StableHGB,stable_hgb,2025/01/13,1.0,1.0,0.009250844219383714,95371.1960533067,-0.038712889085553814
StableHGB,stable_hgb,2025/01/14,1.0,1.0,0.05471148230514955,100589.09555859814,0.0
StableHGB,stable_hgb,2025/01/15,1.0,1.0,0.0002536797198067209,100614.61297217506,0.0
StableHGB,stable_hgb,2025/01/16,1.0,1.0,0.009460126480445696,101566.43993667293,0.0
StableHGB,stable_hgb,2025/01/17,1.0,1.0,-0.005173354657099671,101041.00072162152,-0.005173354657099671
StableHGB,stable_hgb,2025/01/20,1.0,1.0,0.017091603281457424,102767.95342111694,0.0
StableHGB,stable_hgb,2025/01/21,0.0,1.0,-0.011275013683268997,101609.24334009229,-0.011275013683268997
StableHGB,stable_hgb,2025/01/22,0.0,0.0,-0.0,101609.24334009229,-0.011275013683268997
StableHGB,stable_hgb,2025/01/23,1.0,0.0,0.0,101609.24334009229,-0.011275013683268997
StableHGB,stable_hgb,2025/01/24,1.0,1.0,0.009125930765984558,102536.52225999805,-0.0022519779115435234
StableHGB,stable_hgb,2025/01/27,1.0,1.0,-0.0007581132961200776,102458.78795913483,-0.0030083839532663026
StableHGB,stable_hgb,2025/02/05,1.0,1.0,0.022339460440201186,104747.6619994989,0.0
StableHGB,stable_hgb,2025/02/06,1.0,1.0,0.014908226594480434,106309.26387982948,0.0
StableHGB,stable_hgb,2025/02/07,1.0,1.0,0.010726134870347126,107449.55138217185,0.0
StableHGB,stable_hgb,2025/02/10,1.0,1.0,0.025838209965063363,110225.85545143626,0.0
StableHGB,stable_hgb,2025/02/11,1.0,1.0,-0.0015334305426236705,110056.83175810022,-0.0015334305426235595
StableHGB,stable_hgb,2025/02/12,1.0,1.0,0.004069454708150566,110504.70305026234,0.0
StableHGB,stable_hgb,2025/02/13,1.0,1.0,-0.01274968019406153,109095.80342643177,-0.012749680194061419
StableHGB,stable_hgb,2025/02/14,1.0,1.0,0.0013591366439467123,109244.07953056945,-0.011407872107665029
StableHGB,stable_hgb,2025/02/17,1.0,1.0,0.025760691205964026,112058.28252943621,0.0
StableHGB,stable_hgb,2025/02/18,1.0,1.0,-0.024294146544977857,109335.92219208757,-0.024294146544977746
StableHGB,stable_hgb,2025/02/19,1.0,1.0,0.02056998856379466,111584.96086119075,-0.004223888297780531
StableHGB,stable_hgb,2025/02/20,1.0,1.0,0.012465106131900106,112975.87924104939,0.0
StableHGB,stable_hgb,2025/02/21,1.0,1.0,-0.0032811451686362014,112605.18898070519,-0.0032811451686362014
StableHGB,stable_hgb,2025/02/24,1.0,1.0,0.012104045163541022,113968.16727377672,0.0
StableHGB,stable_hgb,2025/02/25,1.0,1.0,-0.00353171626846871,113565.66404332835,-0.003531716268468821
StableHGB,stable_hgb,2025/02/26,1.0,1.0,0.014554498375255243,115218.55531613177,0.0
StableHGB,stable_hgb,2025/02/27,1.0,1.0,-0.0016638615513528965,115026.84759193881,-0.0016638615513530075
StableHGB,stable_hgb,2025/02/28,1.0,1.0,-0.025689741419116396,112071.8376210458,-0.027310858797457982
StableHGB,stable_hgb,2025/03/03,1.0,1.0,0.0067978851024126374,112833.68909640991,-0.02069862977519854
StableHGB,stable_hgb,2025/03/04,1.0,1.0,0.016752476218495627,114723.93278964265,-0.004292906859767354
StableHGB,stable_hgb,2025/03/05,1.0,1.0,-0.004031703853026092,114261.39986778035,-0.00830730298366622
StableHGB,stable_hgb,2025/03/06,1.0,1.0,0.016790100740604608,116179.86028232287,0.0
StableHGB,stable_hgb,2025/03/07,1.0,1.0,-0.004631217021925038,115641.8061357785,-0.004631217021925038
StableHGB,stable_hgb,2025/03/10,1.0,1.0,0.015357712705517113,117417.7997711589,0.0
