feature_set,feature_count,model,selection_objective,return_weight,sharpe_weight,valid_selection_score,valid_return_score,valid_sharpe_score,mapping_type,center_prob,sharpness,min_position,max_position,smoothing_window,valid_accuracy,test_accuracy,valid_auc,test_auc,valid_cumulative_return,valid_max_drawdown,valid_sharpe,cumulative_return,annualized_return,max_drawdown,sharpe,excess_return_vs_buy_hold,lower_prob,upper_prob,lower_rank,upper_rank
market,12,logistic_regression,weighted_valid_return_sharpe,0.5,0.5,0.9820005356118641,0.9808585882272204,0.9831424829965077,sigmoid,0.55,8.0,0.5,1.0,5,0.48760330578512395,0.6234177215189873,0.5736434108527132,0.6182065217391304,0.09148187491565385,-0.438264172917037,0.42943833487776545,0.8469313545745378,0.6311204943427244,-0.13034752239140446,2.289105518369219,-0.14583871152198924,,,,
market,12,random_forest,weighted_valid_return_sharpe,0.5,0.5,1.2006007988769811,1.2835641206801525,1.1176374770738098,linear_clipped,,,0.0,1.0,3,0.5247933884297521,0.6518987341772152,0.5761130548123756,0.5672554347826086,0.11971435408085696,-0.4410707801136172,0.4881859806207444,0.6550530032741604,0.4944988016500016,-0.11409633312687117,2.1367456786534635,-0.3377170628223667,0.5,0.65,,
market,12,gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.2524301262428894,1.3551725771114946,1.1496876753742844,linear_clipped,,,0.0,1.0,5,0.5206611570247934,0.43037974683544306,0.48315840021952394,0.5381162655279503,0.12639306998627098,-0.4426192568143863,0.5021855626027051,0.40593043989634015,0.31218924902761946,-0.11655788789492305,1.5125513198072411,-0.5868396262001869,0.35,0.5,,
market,12,hist_gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.0252560667701616,1.0358521098104483,1.0146600237298748,linear_clipped,,,0.0,1.0,1,0.5247933884297521,0.6677215189873418,0.5716539754407629,0.5456618788819876,0.09661096337247299,-0.4577482649016674,0.4432052511142876,0.8770918039836557,0.6523271628538987,-0.1760364026247887,2.021846258789428,-0.11567826211287136,0.5,0.5,,
market,12,lightgbm,weighted_valid_return_sharpe,0.5,0.5,1.0188136486270112,1.0268501268246495,1.0107771704293729,linear_clipped,,,0.0,1.0,1,0.5371900826446281,0.6772151898734177,0.5446936955477808,0.5562888198757765,0.09577137416829618,-0.45087224789923375,0.44150921408529054,0.743820039073666,0.5580806520504187,-0.1760364026247888,1.8195393434923819,-0.24895002702286106,0.5,0.55,,
market,12,lstm,weighted_valid_return_sharpe,0.5,0.5,1.0098704206206996,1.0197408412413997,0.9999999999999994,sigmoid,0.5,16.0,0.5,1.0,1,0.5330578512396694,0.7088607594936709,0.5,0.5,0.09510831143705989,-0.41920856469166534,0.43680172742498674,0.8472870919521935,0.6313710301340116,-0.15298652217562236,2.17822215669276,-0.14548297414433353,,,,
composite,28,logistic_regression,weighted_valid_return_sharpe,0.5,0.5,4.239949836670684,5.6343331041511995,2.8455665691901695,linear_clipped,,,0.0,1.0,3,0.5661157024793388,0.6867088607594937,0.5973794333539137,0.633685947204969,0.5254981324052839,-0.41488913361921986,1.2429483929250598,1.0734542302914836,0.7887671243070271,-0.14618825927768064,2.688602916834085,0.0806841641949565,0.5,0.5,,
composite,28,random_forest,weighted_valid_return_sharpe,0.5,0.5,1.906920162047801,2.2860502313752726,1.5277900927203292,linear_clipped,,,0.0,1.0,5,0.5371900826446281,0.6392405063291139,0.5799547231940728,0.6477581521739131,0.21321336615459985,-0.41133478465641926,0.6673413516430208,0.9039901243178028,0.6711819691599337,-0.10838920253536588,2.676159278033144,-0.08877994177872428,0.5,0.6,,
composite,28,gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.8188624418961612,2.1604101835613823,1.47731470023094,linear_clipped,,,0.0,1.0,5,0.5413223140495868,0.6360759493670886,0.5353639294779446,0.5997670807453415,0.20149527827071778,-0.4249561112255924,0.6452936130112014,0.8754688544376739,0.6511877869195555,-0.13475047976254018,2.5103321781655175,-0.11730121165885321,0.5,0.55,,
composite,28,hist_gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.8364446718824448,2.0861888893182985,1.586700454446591,rank_linear,,,0.0,1.0,3,0.5371900826446281,0.6677215189873418,0.6028675310420526,0.6422263198757764,0.19457287045625837,-0.40840792215679833,0.6930734994082828,0.6818713360424886,0.5137793895907541,-0.03218332417731118,3.5706009653832105,-0.31089873005403845,,,0.4,0.8
composite,28,lightgbm,weighted_valid_return_sharpe,0.5,0.5,1.3322162660489034,1.467050752215726,1.197381779882081,linear_clipped,,,0.0,1.0,5,0.5371900826446281,0.6518987341772152,0.5647252521094874,0.6499417701863354,0.13682762736642817,-0.41138206817560785,0.5230184298396985,0.8599531960298739,0.6402850589699656,-0.12799888591944286,2.453287652706081,-0.13281687006665321,0.5,0.65,,
composite,28,lstm,weighted_valid_return_sharpe,0.5,0.5,1.0098704026307166,1.0197408166554418,0.9999999886059916,sigmoid,0.5,16.0,0.5,1.0,5,0.5330578512396694,0.7088607594936709,0.49608973039720106,0.4860248447204969,0.09510830914399793,-0.4192085945128061,0.4368017224480644,0.8472871880930424,0.6313710978419762,-0.15298653446086463,2.1782221575939045,-0.1454828780034847,,,,
